10100234;22/01/2026;08:00;09:30
10100234;24/01/2026;08:00;09:30
10100234;29/01/2026;08:00;09:30
10100235;22/01/2026;10:00;11:30
10100235;24/01/2026;10:00;11:30
10100235;29/01/2026;10:00;11:30
10100236;22/01/2026;13:00;14:30
10100236;24/01/2026;13:00;14:30
10100236;29/01/2026;13:00;14:30
10100237;22/01/2026;15:00;16:30
10100237;24/01/2026;15:00;16:30
10100237;29/01/2026;15:00;16:30
10100238;23/01/2026;08:00;09:30
10100238;25/01/2026;08:00;09:30
10100238;30/01/2026;08:00;09:30
10100239;23/01/2026;10:00;11:30
10100239;25/01/2026;10:00;11:30
10100239;30/01/2026;10:00;11:30
10100240;23/01/2026;13:00;14:30
10100240;25/01/2026;13:00;14:30
10100240;30/01/2026;13:00;14:30
10100241;23/01/2026;15:00;16:30
10100241;25/01/2026;15:00;16:30
10100241;30/01/2026;15:00;16:30
10100242;22/01/2026;08:00;09:30
10100242;29/01/2026;08:00;09:30
10100243;22/01/2026;10:00;11:30
10100243;29/01/2026;10:00;11:30
10100244;22/01/2026;13:00;14:30
10100244;29/01/2026;13:00;14:30
10100245;22/01/2026;15:00;16:30
10100245;29/01/2026;15:00;16:30
10100246;23/01/2026;08:00;09:30
10100246;30/01/2026;08:00;09:30
10100247;23/01/2026;10:00;11:30
10100247;30/01/2026;10:00;11:30
10100248;23/01/2026;13:00;14:30
10100248;30/01/2026;13:00;14:30
